Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,8.0,Sat,2019-10-19,18:30,Dortmund,1.5,1–0,2.6,M'Gladbach,81365.0,Signal Iduna Park,Sascha Stegemann,Match Report,,20,D1
Regular season,8.0,Sun,2019-10-20,15:30,Köln,2.4,3–0,0.4,Paderborn 07,50000.0,RheinEnergieSTADION,Manuel Gräfe,Match Report,,20,D1
Regular season,8.0,Sun,2019-10-20,18:00,Hoffenheim,0.9,2–0,0.8,Schalke 04,29477.0,PreZero Arena,Robert Hartmann,Match Report,,20,D1
,,,,,,,,,,,,,,,20,D1
Regular season,9.0,Fri,2019-10-25,20:30,Mainz 05,1.8,3–1,1.3,Köln,31999.0,Opel Arena,Frank Willenborg,Match Report,,20,D1
Regular season,9.0,Sat,2019-10-26,15:30,Paderborn 07,0.8,2–0,1.4,Düsseldorf,14182.0,Benteler-Arena,Bastian Dankert,Match Report,,20,D1
Regular season,9.0,Sat,2019-10-26,15:30,Freiburg,2.1,2–1,2.5,RB Leipzig,24000.0,Schwarzwald-Stadion,Harm Osmers,Match Report,,20,D1
Regular season,9.0,Sat,2019-10-26,15:30,Bayern Munich,2.7,2–1,1.7,Union Berlin,75000.0,Allianz Arena,Marco Fritz,Match Report,,20,D1
Regular season,9.0,Sat,2019-10-26,15:30,Hertha BSC,2.5,2–3,2.2,Hoffenheim,44702.0,Olympiastadion Berlin,Markus Schmidt,Match Report,,20,D1
Regular season,9.0,Sat,2019-10-26,15:30,Schalke 04,1.1,0–0,0.3,Dortmund,61873.0,Veltins-Arena,Felix Brych,Match Report,,20,D1
Regular season,9.0,Sat,2019-10-26,18:30,Leverkusen,2.9,2–2,0.9,Werder Bremen,30210.0,BayArena,Martin Petersen,Match Report,,20,D1
Regular season,9.0,Sun,2019-10-27,15:30,Wolfsburg,1.1,0–0,1.0,Augsburg,22630.0,Volkswagen Arena,Tobias Stieler,Match Report,,20,D1
Regular season,9.0,Sun,2019-10-27,18:00,M'Gladbach,1.7,4–2,1.2,Eint Frankfurt,52300.0,Stadion im Borussia-Park,Daniel Schlager,Match Report,,20,D1
,,,,,,,,,,,,,,,20,D1
Regular season,10.0,Fri,2019-11-01,20:30,Hoffenheim,2.1,3–0,0.6,Paderborn 07,23629.0,PreZero Arena,Robert Schröder,Match Report,,20,D1
Regular season,10.0,Sat,2019-11-02,15:30,Dortmund,2.2,3–0,1.5,Wolfsburg,80200.0,Signal Iduna Park,Tobias Welz,Match Report,,20,D1
Regular season,10.0,Sat,2019-11-02,15:30,Leverkusen,2.3,1–2,2.6,M'Gladbach,30210.0,BayArena,Daniel Siebert,Match Report,,20,D1
Regular season,10.0,Sat,2019-11-02,15:30,Eint Frankfurt,3.3,5–1,1.7,Bayern Munich,51500.0,Deutsche Bank Park,Markus Schmidt,Match Report,,20,D1
Regular season,10.0,Sat,2019-11-02,15:30,Werder Bremen,1.5,2–2,1.2,Freiburg,41000.0,Weserstadion,Christian Dingert,Match Report,,20,D1
Regular season,10.0,Sat,2019-11-02,15:30,RB Leipzig,3.3,8–0,0.6,Mainz 05,38517.0,Red Bull Arena,Guido Winkmann,Match Report,,20,D1
Regular season,10.0,Sat,2019-11-02,18:30,Union Berlin,1.6,1–0,0.4,Hertha BSC,22012.0,Stadion An der Alten Försterei,Deniz Aytekin,Match Report,,20,D1
Regular season,10.0,Sun,2019-11-03,15:30,Düsseldorf,2.0,2–0,1.3,Köln,51155.0,Merkur Spielarena,Sven Jablonski,Match Report,,20,D1
Regular season,10.0,Sun,2019-11-03,18:00,Augsburg,1.6,2–3,0.5,Schalke 04,30361.0,WWK Arena,Patrick Ittrich,Match Report,,20,D1
,,,,,,,,,,,,,,,20,D1
Regular season,11.0,Fri,2019-11-08,20:30,Köln,0.9,1–2,2.1,Hoffenheim,49100.0,RheinEnergieSTADION,Robert Kampka,Match Report,,20,D1
Regular season,11.0,Sat,2019-11-09,15:30,Mainz 05,2.3,2–3,1.1,Union Berlin,24349.0,Opel Arena,Harm Osmers,Match Report,,20,D1
Regular season,11.0,Sat,2019-11-09,15:30,Hertha BSC,0.6,2–4,2.0,RB Leipzig,48532.0,Olympiastadion Berlin,Sören Storks,Match Report,,20,D1
Regular season,11.0,Sat,2019-11-09,15:30,Paderborn 07,1.2,0–1,1.0,Augsburg,13758.0,Benteler-Arena,Marco Fritz,Match Report,,20,D1
Regular season,11.0,Sat,2019-11-09,15:30,Schalke 04,1.3,3–3,2.1,Düsseldorf,61831.0,Veltins-Arena,Robert Hartmann,Match Report,,20,D1
Regular season,11.0,Sat,2019-11-09,18:30,Bayern Munich,3.7,4–0,0.7,Dortmund,75000.0,Allianz Arena,Felix Zwayer,Match Report,,20,D1
Regular season,11.0,Sun,2019-11-10,13:30,M'Gladbach,1.9,3–1,1.7,Werder Bremen,54022.0,Stadion im Borussia-Park,Tobias Stieler,Match Report,,20,D1
Regular season,11.0,Sun,2019-11-10,15:30,Wolfsburg,0.9,0–2,1.0,Leverkusen,24112.0,Volkswagen Arena,Manuel Gräfe,Match Report,,20,D1
Regular season,11.0,Sun,2019-11-10,18:00,Freiburg,0.9,1–0,1.4,Eint Frankfurt,24000.0,Schwarzwald-Stadion,Felix Brych,Match Report,,20,D1
,,,,,,,,,,,,,,,20,D1
Regular season,12.0,Fri,2019-11-22,20:30,Dortmund,1.8,3–3,2.1,Paderborn 07,81365.0,Signal Iduna Park,Christian Dingert,Match Report,,20,D1
Regular season,12.0,Sat,2019-11-23,15:30,Düsseldorf,0.7,0–4,3.7,Bayern Munich,53000.0,Merkur Spielarena,Frank Willenborg,Match Report,,20,D1
Regular season,12.0,Sat,2019-11-23,15:30,Union Berlin,1.8,2–0,1.2,M'Gladbach,22012.0,Stadion An der Alten Försterei,Felix Brych,Match Report,,20,D1
Regular season,12.0,Sat,2019-11-23,15:30,Leverkusen,4.1,1–1,1.1,Freiburg,29032.0,BayArena,Deniz Aytekin,Match Report,,20,D1
Regular season,12.0,Sat,2019-11-23,15:30,Eint Frankfurt,0.9,0–2,1.3,Wolfsburg,50700.0,Deutsche Bank Park,Daniel Siebert,Match Report,,20,D1
Regular season,12.0,Sat,2019-11-23,15:30,Werder Bremen,2.0,1–2,0.7,Schalke 04,42100.0,Weserstadion,Benjamin Cortus,Match Report,,20,D1
Regular season,12.0,Sat,2019-11-23,18:30,RB Leipzig,2.3,4–1,0.6,Köln,42036.0,Red Bull Arena,Robert Schröder,Match Report,,20,D1
Regular season,12.0,Sun,2019-11-24,15:30,Augsburg,1.9,4–0,0.5,Hertha BSC,29233.0,WWK Arena,Sascha Stegemann,Match Report,,20,D1
Regular season,12.0,Sun,2019-11-24,18:00,Hoffenheim,2.0,1–5,2.5,Mainz 05,23129.0,PreZero Arena,Bastian Dankert,Match Report,,20,D1
,,,,,,,,,,,,,,,20,D1
Regular season,13.0,Fri,2019-11-29,20:30,Schalke 04,1.5,2–1,1.6,Union Berlin,61837.0,Veltins-Arena,Daniel Schlager,Match Report,,20,D1
Regular season,13.0,Sat,2019-11-30,15:30,Hoffenheim,2.1,1–1,0.9,Düsseldorf,25427.0,PreZero Arena,Martin Petersen,Match Report,,20,D1
Regular season,13.0,Sat,2019-11-30,15:30,Köln,1.2,1–1,2.1,Augsburg,49200.0,RheinEnergieSTADION,Tobias Stieler,Match Report,,20,D1
Regular season,13.0,Sat,2019-11-30,15:30,Hertha BSC,1.0,1–2,1.2,Dortmund,74667.0,Olympiastadion Berlin,Sven Jablonski,Match Report,,20,D1
Regular season,13.0,Sat,2019-11-30,15:30,Paderborn 07,1.6,2–3,1.8,RB Leipzig,13253.0,Benteler-Arena,Bibiana Steinhaus,Match Report,,20,D1
Regular season,13.0,Sat,2019-11-30,18:30,Bayern Munich,2.8,1–2,1.3,Leverkusen,75000.0,Allianz Arena,Guido Winkmann,Match Report,,20,D1
Regular season,13.0,Sun,2019-12-01,15:30,M'Gladbach,5.0,4–2,1.5,Freiburg,51080.0,Stadion im Borussia-Park,Felix Zwayer,Match Report,,20,D1
