Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
11.0,Sat,2019-10-26,19:45,Fortuna Sittard,1.3,4–1,1.1,VVV-Venlo,8388.0,Fortuna Sittard Stadion,Danny Makkelie,Match Report,,20,N1
11.0,Sat,2019-10-26,19:45,Vitesse,2.6,0–2,1.4,ADO Den Haag,12663.0,GelreDome,Jeroen Manschot,Match Report,,20,N1
11.0,Sat,2019-10-26,20:45,Heracles Almelo,2.2,4–0,1.2,Zwolle,10157.0,Erve Asito,Martin Perez,Match Report,,20,N1
11.0,Sun,2019-10-27,12:15,Heerenveen,1.6,1–1,1.2,Groningen,22428.0,Abe Lenstra Stadion,Allard Lindhout,Match Report,,20,N1
11.0,Sun,2019-10-27,14:30,Sparta R'dam,1.1,1–2,2.1,Utrecht,10344.0,Sparta-Stadion Het Kasteel,Sander Van der Eijk,Match Report,,20,N1
11.0,Sun,2019-10-27,14:30,PSV Eindhoven,0.4,0–4,2.8,AZ Alkmaar,34000.0,Philips Stadion,Pol van Boekel,Match Report,,20,N1
11.0,Sun,2019-10-27,16:45,Ajax,3.1,4–0,0.2,Feyenoord,53968.0,Johan Cruyff ArenA,Serdar Gözübüyük,Match Report,,20,N1
,,,,,,,,,,,,,,20,N1
12.0,Fri,2019-11-01,20:00,Zwolle,2.0,2–4,4.0,Ajax,14000.0,MAC³PARK Stadion,Björn Kuipers,Match Report,,20,N1
12.0,Sat,2019-11-02,18:30,RKC Waalwijk,2.2,2–0,1.2,Heracles Almelo,4689.0,Mandemakers Stadion,Edwin van de Graaf,Match Report,,20,N1
12.0,Sat,2019-11-02,19:45,Sparta R'dam,2.1,2–2,2.6,PSV Eindhoven,10387.0,Sparta-Stadion Het Kasteel,Bas Nijhuis,Match Report,,20,N1
12.0,Sat,2019-11-02,20:45,AZ Alkmaar,2.8,3–0,0.4,Twente,4689.0,AFAS Stadion,Danny Makkelie,Match Report,,20,N1
12.0,Sun,2019-11-03,12:15,Emmen,1.8,2–1,1.7,Vitesse,8048.0,De Oude Meerdijk,Joey Kooij,Match Report,,20,N1
12.0,Sun,2019-11-03,14:30,VVV-Venlo,0.6,0–3,1.6,Feyenoord,6572.0,Seacon Stadion De Koel,Kevin Blom,Match Report,,20,N1
12.0,Sun,2019-11-03,14:30,Groningen,2.2,2–0,0.5,Willem II,16590.0,Hitachi Capital Mobility Stadion,Pol van Boekel,Match Report,,20,N1
12.0,Sun,2019-11-03,14:30,Utrecht,3.5,6–0,0.1,Fortuna Sittard,18776.0,Stadion Galgenwaard,Jochem Kamphuis,Match Report,,20,N1
12.0,Sun,2019-11-03,16:45,ADO Den Haag,1.4,1–1,1.0,Heerenveen,12681.0,Cars Jeans Stadion,Sander Van der Eijk,Match Report,,20,N1
,,,,,,,,,,,,,,20,N1
13.0,Fri,2019-11-08,20:00,Vitesse,2.5,1–2,1.2,Groningen,12590.0,GelreDome,Serdar Gözübüyük,Match Report,,20,N1
13.0,Sat,2019-11-09,18:30,Heerenveen,1.2,2–1,0.8,Sparta R'dam,18089.0,Abe Lenstra Stadion,Joey Kooij,Match Report,,20,N1
13.0,Sat,2019-11-09,19:45,Fortuna Sittard,1.5,1–0,1.3,ADO Den Haag,8223.0,Fortuna Sittard Stadion,Martin van den Kerkhof,Match Report,,20,N1
13.0,Sat,2019-11-09,20:45,Heracles Almelo,4.7,6–1,0.5,VVV-Venlo,9400.0,Erve Asito,Jochem Kamphuis,Match Report,,20,N1
13.0,Sun,2019-11-10,12:15,Ajax,3.0,4–0,0.2,Utrecht,53381.0,Johan Cruyff ArenA,Bas Nijhuis,Match Report,,20,N1
13.0,Sun,2019-11-10,14:30,Willem II,1.5,2–1,0.8,PSV Eindhoven,14400.0,Koning Willem II Stadion,Björn Kuipers,Match Report,,20,N1
13.0,Sun,2019-11-10,14:30,Twente,0.6,2–1,0.9,Zwolle,26900.0,De Grolsch Veste,Kevin Blom,Match Report,,20,N1
13.0,Sun,2019-11-10,16:45,Feyenoord,4.0,3–2,0.6,RKC Waalwijk,47431.0,Stadion Feijenoord,Danny Makkelie,Match Report,,20,N1
13.0,Sun,2019-11-10,20:00,AZ Alkmaar,4.9,3–0,0.4,Emmen,7000.0,AFAS Stadion,Siemen Mulder,Match Report,,20,N1
,,,,,,,,,,,,,,20,N1
14.0,Sat,2019-11-23,18:30,Utrecht,1.6,0–3,1.4,AZ Alkmaar,22401.0,Stadion Galgenwaard,Björn Kuipers,Match Report,,20,N1
14.0,Sat,2019-11-23,19:45,Ajax,2.8,4–1,1.5,Heracles Almelo,53226.0,Johan Cruyff ArenA,Dennis Higler,Match Report,,20,N1
14.0,Sat,2019-11-23,19:45,Zwolle,2.5,3–1,1.5,Fortuna Sittard,13912.0,MAC³PARK Stadion,Joey Kooij,Match Report,,20,N1
14.0,Sat,2019-11-23,20:45,ADO Den Haag,1.5,3–3,4.1,Willem II,10889.0,Cars Jeans Stadion,Allard Lindhout,Match Report,,20,N1
14.0,Sun,2019-11-24,12:15,Groningen,1.5,1–1,1.5,Feyenoord,21096.0,Hitachi Capital Mobility Stadion,Jeroen Manschot,Match Report,,20,N1
14.0,Sun,2019-11-24,14:30,RKC Waalwijk,1.6,1–1,0.6,Emmen,6645.0,Mandemakers Stadion,Richard Martens,Match Report,,20,N1
14.0,Sun,2019-11-24,14:30,PSV Eindhoven,1.3,2–1,0.9,Heerenveen,33800.0,Philips Stadion,Bas Nijhuis,Match Report,,20,N1
14.0,Sun,2019-11-24,16:45,Sparta R'dam,1.1,2–0,1.0,Vitesse,10020.0,Sparta-Stadion Het Kasteel,Christiaan Bax,Match Report,,20,N1
14.0,Sun,2019-11-24,16:45,VVV-Venlo,2.3,2–1,2.5,Twente,6730.0,Seacon Stadion De Koel,Sander Van der Eijk,Match Report,,20,N1
,,,,,,,,,,,,,,20,N1
15.0,Fri,2019-11-29,20:00,Heerenveen,2.9,3–2,1.5,Vitesse,17833.0,Abe Lenstra Stadion,Danny Makkelie,Match Report,,20,N1
15.0,Sat,2019-11-30,18:30,Willem II,1.7,4–0,0.6,Sparta R'dam,14250.0,Koning Willem II Stadion,Siemen Mulder,Match Report,,20,N1
15.0,Sat,2019-11-30,19:45,Fortuna Sittard,1.8,1–0,0.8,Groningen,7632.0,Fortuna Sittard Stadion,Richard Martens,Match Report,,20,N1
15.0,Sat,2019-11-30,20:45,Heracles Almelo,2.2,4–0,0.9,ADO Den Haag,10150.0,Erve Asito,Jeroen Manschot,Match Report,,20,N1
15.0,Sun,2019-12-01,12:15,Twente,0.9,2–5,3.6,Ajax,30000.0,De Grolsch Veste,Pol van Boekel,Match Report,,20,N1
15.0,Sun,2019-12-01,14:30,Utrecht,1.2,0–1,0.8,RKC Waalwijk,18103.0,Stadion Galgenwaard,Sander Van der Eijk,Match Report,,20,N1
15.0,Sun,2019-12-01,16:45,AZ Alkmaar,1.8,1–0,0.5,VVV-Venlo,6007.0,AFAS Stadion,Martin van den Kerkhof,Match Report,,20,N1
15.0,Sun,2019-12-01,16:45,Feyenoord,2.3,1–0,1.4,Zwolle,44513.0,Stadion Feijenoord,Allard Lindhout,Match Report,,20,N1
15.0,Sun,2019-12-01,20:00,Emmen,1.4,1–1,1.8,PSV Eindhoven,8309.0,De Oude Meerdijk,Dennis Higler,Match Report,,20,N1
,,,,,,,,,,,,,,20,N1
16.0,Fri,2019-12-06,20:15,Ajax,2.3,0–2,1.2,Willem II,54022.0,Johan Cruyff ArenA,Björn Kuipers,Match Report,,20,N1
16.0,Sat,2019-12-07,18:30,ADO Den Haag,0.9,0–0,0.6,Twente,11439.0,Cars Jeans Stadion,Siemen Mulder,Match Report,,20,N1
16.0,Sat,2019-12-07,19:45,VVV-Venlo,3.9,2–0,1.2,Emmen,6580.0,Seacon Stadion De Koel,Christiaan Bax,Match Report,,20,N1
16.0,Sat,2019-12-07,19:45,PSV Eindhoven,6.2,5–0,0.4,Fortuna Sittard,33300.0,Philips Stadion,Allard Lindhout,Match Report,,20,N1
16.0,Sat,2019-12-07,20:45,Zwolle,0.9,0–3,1.5,AZ Alkmaar,13708.0,MAC³PARK Stadion,Serdar Gözübüyük,Match Report,,20,N1
16.0,Sun,2019-12-08,12:15,Vitesse,1.8,0–0,2.8,Feyenoord,16455.0,GelreDome,Pol van Boekel,Match Report,,20,N1
16.0,Sun,2019-12-08,14:30,RKC Waalwijk,0.8,1–3,1.9,Heerenveen,5174.0,Mandemakers Stadion,Marc Nagtegaal,Match Report,,20,N1
16.0,Sun,2019-12-08,14:30,Groningen,1.3,0–1,1.2,Utrecht,18741.0,Hitachi Capital Mobility Stadion,Kevin Blom,Match Report,,20,N1
16.0,Sun,2019-12-08,16:45,Sparta R'dam,0.4,0–0,0.7,Heracles Almelo,9934.0,Sparta-Stadion Het Kasteel,Richard Martens,Match Report,,20,N1
,,,,,,,,,,,,,,20,N1
17.0,Fri,2019-12-13,20:00,Heerenveen,1.2,1–2,0.9,Willem II,18121.0,Abe Lenstra Stadion,Dennis Higler,Match Report,,20,N1
17.0,Sat,2019-12-14,18:30,ADO Den Haag,1.3,1–1,2.5,Groningen,11000.0,Cars Jeans Stadion,Joey Kooij,Match Report,,20,N1
17.0,Sat,2019-12-14,19:45,VVV-Venlo,1.5,1–2,2.5,Zwolle,6861.0,Seacon Stadion De Koel,Marc Nagtegaal,Match Report,,20,N1
17.0,Sat,2019-12-14,19:45,Fortuna Sittard,2.4,3–2,1.2,RKC Waalwijk,8391.0,Fortuna Sittard Stadion,Jochem Kamphuis,Match Report,,20,N1
17.0,Sat,2019-12-14,20:45,Twente,0.8,0–3,1.3,Vitesse,26500.0,De Grolsch Veste,Allard Lindhout,Match Report,,20,N1
17.0,Sun,2019-12-15,12:15,Emmen,2.5,2–0,0.6,Sparta R'dam,8145.0,De Oude Meerdijk,Edwin van de Graaf,Match Report,,20,N1
17.0,Sun,2019-12-15,14:30,Feyenoord,2.5,3–1,2.2,PSV Eindhoven,47625.0,Stadion Feijenoord,Bas Nijhuis,Match Report,,20,N1
17.0,Sun,2019-12-15,16:45,AZ Alkmaar,1.8,1–0,1.3,Ajax,17000.0,AFAS Stadion,Danny Makkelie,Match Report,,20,N1
