Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,7.0,Sun,2019-09-22,19:00,Tenerife,0–1,Fuenlabrada,11249.0,Estadio Heliodoro Rodríguez Lopéz,Jorge Figueroa,Match Report,,20,SP2
Regular season,7.0,Sun,2019-09-22,20:00,Extremadura,0–1,Huesca,6261.0,Estadio Francisco de la Hera,Juan Pulido,Match Report,,20,SP2
,,,,,,,,,,,,,20,SP2
Regular season,8.0,Fri,2019-09-27,20:00,Las Palmas,3–2,Albacete,9396.0,Estadio de Gran Canaria,Gorka Sagues,Match Report,,20,SP2
Regular season,8.0,Sat,2019-09-28,16:00,Fuenlabrada,2–2,Rayo Vallecano,5320.0,Estadio Fernando Torres,Javier Villanueva,Match Report,,20,SP2
Regular season,8.0,Sat,2019-09-28,18:00,Huesca,1–0,Girona,6586.0,Estadio El Alcoraz,Oliver De La Fuente,Match Report,,20,SP2
Regular season,8.0,Sat,2019-09-28,18:00,Alcorcón,0–2,Extremadura,2747.0,Estadio Santo Domingo,Santiago Varón,Match Report,,20,SP2
Regular season,8.0,Sat,2019-09-28,20:00,Racing Sant,0–0,Numancia,12534.0,Campos de Sport de El Sardinero,Iosu Galech,Match Report,,20,SP2
Regular season,8.0,Sat,2019-09-28,20:00,Elche,1–0,Ponferradina,8227.0,Estadio Manuel Martínez Valero,Iñaki Bikandi,Match Report,,20,SP2
Regular season,8.0,Sun,2019-09-29,12:00,Málaga,0–0,Sporting Gijón,15272.0,Estadio La Rosaleda,Dámaso Arcediano,Match Report,,20,SP2
Regular season,8.0,Sun,2019-09-29,16:00,Almería,1–2,Cádiz,13082.0,Estadio de los Juegos Mediterráneos,Daniel Trujillo,Match Report,,20,SP2
Regular season,8.0,Sun,2019-09-29,18:30,Oviedo,2–2,Zaragoza,12493.0,Estadio Nuevo Carlos Tartiere,Isidro Díaz de Mera,Match Report,,20,SP2
Regular season,8.0,Sun,2019-09-29,21:00,La Coruña,1–1,CD Mirandés,13331.0,Estadio Municipal de Riazor,Miguel Ángel Ortiz Arias,Match Report,,20,SP2
Regular season,8.0,Sun,2019-09-29,21:00,Lugo,1–4,Tenerife,2679.0,Estadio Anxo Carro,Luis Milla,Match Report,,20,SP2
,,,,,,,,,,,,,20,SP2
Regular season,9.0,Tue,2019-10-01,19:00,Extremadura,2–0,Elche,6422.0,Estadio Francisco de la Hera,Alejandro Muñíz,Match Report,,20,SP2
Regular season,9.0,Tue,2019-10-01,19:00,Albacete,0–0,Racing Sant,7891.0,Estadio Carlos Belmonte,Víctor Areces,Match Report,,20,SP2
Regular season,9.0,Tue,2019-10-01,19:00,Numancia,1–0,Fuenlabrada,2866.0,Nuevo Estadio Los Pajaritos,Aitor Gorostegui,Match Report,,20,SP2
Regular season,9.0,Tue,2019-10-01,21:00,Rayo Vallecano,1–1,Alcorcón,8350.0,Estadio del Rayo Vallecano,Rubén Ávalos,Match Report,,20,SP2
Regular season,9.0,Wed,2019-10-02,19:00,CD Mirandés,1–1,Lugo,2960.0,Estadio Municipal de Anduva,Juan Pulido,Match Report,,20,SP2
Regular season,9.0,Wed,2019-10-02,19:00,Cádiz,1–0,Huesca,15099.0,Estadio Ramón de Carranza,Javier Villanueva,Match Report,,20,SP2
Regular season,9.0,Wed,2019-10-02,20:00,Tenerife,0–1,Oviedo,9813.0,Estadio Heliodoro Rodríguez Lopéz,José López,Match Report,,20,SP2
Regular season,9.0,Wed,2019-10-02,21:00,Ponferradina,0–2,Las Palmas,5008.0,Estadio El Toralín,Iosu Galech,Match Report,,20,SP2
Regular season,9.0,Thu,2019-10-03,19:00,Zaragoza,2–2,Málaga,22927.0,Estadio de la Romareda,Daniel Ocón,Match Report,,20,SP2
Regular season,9.0,Thu,2019-10-03,19:00,Sporting Gijón,4–2,Almería,16310.0,Estadio Municipal El Molinón,Álvaro Moreno,Match Report,,20,SP2
Regular season,9.0,Thu,2019-10-03,21:00,Girona,3–1,La Coruña,7795.0,Estadi Municipal de Montilivi,Jorge Figueroa,Match Report,,20,SP2
,,,,,,,,,,,,,20,SP2
Regular season,10.0,Fri,2019-10-04,21:00,Alcorcón,0–1,Albacete,2457.0,Estadio Santo Domingo,Iñaki Bikandi,Match Report,,20,SP2
Regular season,10.0,Sat,2019-10-05,16:00,Lugo,0–2,Las Palmas,2634.0,Estadio Anxo Carro,Santiago Varón,Match Report,,20,SP2
Regular season,10.0,Sat,2019-10-05,18:00,Elche,1–1,Rayo Vallecano,9064.0,Estadio Manuel Martínez Valero,Aitor Gorostegui,Match Report,,20,SP2
Regular season,10.0,Sat,2019-10-05,19:30,Tenerife,1–2,Extremadura,9799.0,Estadio Heliodoro Rodríguez Lopéz,Saúl Ais,Match Report,,20,SP2
Regular season,10.0,Sat,2019-10-05,20:00,Ponferradina,2–0,CD Mirandés,5426.0,Estadio El Toralín,Luis Milla,Match Report,,20,SP2
Regular season,10.0,Sun,2019-10-06,12:00,Fuenlabrada,2–0,Sporting Gijón,5345.0,Estadio Fernando Torres,Isidro Díaz de Mera,Match Report,,20,SP2
Regular season,10.0,Sun,2019-10-06,16:00,Zaragoza,0–2,Cádiz,26923.0,Estadio de la Romareda,Oliver De La Fuente,Match Report,,20,SP2
Regular season,10.0,Sun,2019-10-06,16:00,Oviedo,1–1,Numancia,12006.0,Estadio Nuevo Carlos Tartiere,Daniel Trujillo,Match Report,,20,SP2
Regular season,10.0,Sun,2019-10-06,18:30,La Coruña,0–0,Almería,15611.0,Estadio Municipal de Riazor,Gorka Sagues,Match Report,,20,SP2
Regular season,10.0,Sun,2019-10-06,20:00,Huesca,2–0,Málaga,6363.0,Estadio El Alcoraz,Miguel Ángel Ortiz Arias,Match Report,,20,SP2
Regular season,10.0,Sun,2019-10-06,20:30,Racing Sant,0–3,Girona,12104.0,Campos de Sport de El Sardinero,Dámaso Arcediano,Match Report,,20,SP2
,,,,,,,,,,,,,20,SP2
Regular season,11.0,Fri,2019-10-11,21:00,Rayo Vallecano,2–1,Tenerife,9335.0,Estadio del Rayo Vallecano,Víctor Areces,Match Report,,20,SP2
Regular season,11.0,Sat,2019-10-12,12:00,Girona,0–2,Elche,8406.0,Estadi Municipal de Montilivi,Daniel Ocón,Match Report,,20,SP2
Regular season,11.0,Sat,2019-10-12,16:00,Almería,0–0,Lugo,10246.0,Estadio de los Juegos Mediterráneos,Iosu Galech,Match Report,,20,SP2
Regular season,11.0,Sat,2019-10-12,16:00,Sporting Gijón,1–3,Alcorcón,17560.0,Estadio Municipal El Molinón,Javier Villanueva,Match Report,,20,SP2
Regular season,11.0,Sat,2019-10-12,18:00,Extremadura,1–1,Ponferradina,7205.0,Estadio Francisco de la Hera,Jorge Figueroa,Match Report,,20,SP2
Regular season,11.0,Sat,2019-10-12,18:00,Málaga,1–2,Cádiz,17467.0,Estadio La Rosaleda,Rubén Ávalos,Match Report,,20,SP2
Regular season,11.0,Sun,2019-10-13,12:00,CD Mirandés,2–1,Fuenlabrada,2759.0,Estadio Municipal de Anduva,Alejandro Muñíz,Match Report,,20,SP2
Regular season,11.0,Sun,2019-10-13,16:00,Numancia,0–1,Zaragoza,5754.0,Nuevo Estadio Los Pajaritos,José López,Match Report,,20,SP2
Regular season,11.0,Sun,2019-10-13,18:00,Albacete,1–2,Oviedo,9069.0,Estadio Carlos Belmonte,Juan Pulido,Match Report,,20,SP2
Regular season,11.0,Sun,2019-10-13,18:00,Huesca,1–1,Racing Sant,6604.0,Estadio El Alcoraz,Álvaro Moreno,Match Report,,20,SP2
Regular season,11.0,Sun,2019-10-13,20:00,Las Palmas,3–0,La Coruña,14795.0,Estadio de Gran Canaria,Luis Milla,Match Report,,20,SP2
,,,,,,,,,,,,,20,SP2
Regular season,6.0,Wed,2019-10-16,21:00,Fuenlabrada,2–1,Zaragoza,5231.0,Estadio Fernando Torres,Luis Milla,Match Report,,20,SP2
,,,,,,,,,,,,,20,SP2
Regular season,12.0,Fri,2019-10-18,21:00,Cádiz,2–0,Las Palmas,16440.0,Estadio Ramón de Carranza,Saúl Ais,Match Report,,20,SP2
Regular season,12.0,Sat,2019-10-19,16:00,Alcorcón,2–2,Almería,2611.0,Estadio Santo Domingo,Isidro Díaz de Mera,Match Report,,20,SP2
Regular season,12.0,Sat,2019-10-19,16:00,Ponferradina,1–1,Numancia,4882.0,Estadio El Toralín,Gorka Sagues,Match Report,,20,SP2
Regular season,12.0,Sat,2019-10-19,18:00,Elche,0–1,Sporting Gijón,9316.0,Estadio Manuel Martínez Valero,Miguel Ángel Ortiz Arias,Match Report,,20,SP2
