Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,9.0,Fri,2021-09-24,20:00,West Brom,1.8,2–1,0.3,QPR,21825.0,The Hawthorns,James Linington,Match Report,,22,E2
Regular season,9.0,Sat,2021-09-25,12:30,Reading,1.6,1–0,1.0,Middlesbrough,12469.0,Select Car Leasing Stadium,Peter Bankes,Match Report,,22,E2
Regular season,9.0,Sat,2021-09-25,15:00,Birmingham City,0.5,0–0,0.7,Preston,14925.0,St Andrew's Trillion Trophy Stadium,Matt Donohue,Match Report,,22,E2
Regular season,9.0,Sat,2021-09-25,15:00,Swansea City,1.0,1–0,0.3,Huddersfield,17091.0,Swansea.com Stadium,Gavin Ward,Match Report,,22,E2
Regular season,9.0,Sat,2021-09-25,15:00,Bristol City,1.3,1–1,2.8,Fulham,19326.0,Ashton Gate Stadium,Simon Hooper,Match Report,,22,E2
Regular season,9.0,Sat,2021-09-25,15:00,Nott'ham Forest,0.7,1–1,1.1,Millwall,25589.0,The City Ground,Jeremy Simpson,Match Report,,22,E2
Regular season,9.0,Sat,2021-09-25,15:00,Blackburn,3.2,5–1,0.9,Cardiff City,11670.0,Ewood Park,Keith Stroud,Match Report,,22,E2
Regular season,9.0,Sat,2021-09-25,15:00,Blackpool,1.5,1–0,1.1,Barnsley,12698.0,Bloomfield Road,Steve Martin,Match Report,,22,E2
Regular season,9.0,Sat,2021-09-25,15:00,Sheffield Utd,2.7,1–0,0.8,Derby County,27905.0,Bramall Lane,David Webb,Match Report,,22,E2
Regular season,9.0,Sat,2021-09-25,15:00,Stoke City,1.0,2–0,1.0,Hull City,20124.0,Bet365 Stadium,Thomas Bramall,Match Report,,22,E2
Regular season,9.0,Sat,2021-09-25,15:00,Bournemouth,0.6,2–1,1.4,Luton Town,9737.0,Vitality Stadium,Tim Robinson,Match Report,,22,E2
,,,,,,,,,,,,,,,22,E2
Regular season,10.0,Tue,2021-09-28,19:45,QPR,1.2,2–0,1.7,Birmingham City,12257.0,Kiyan Prince Foundation Stadium,Michael Salisbury,Match Report,,22,E2
Regular season,10.0,Tue,2021-09-28,19:45,Huddersfield,2.0,3–2,1.7,Blackburn,15283.0,The John Smith's Stadium,Jeremy Simpson,Match Report,,22,E2
Regular season,10.0,Tue,2021-09-28,19:45,Preston,0.5,1–1,2.1,Stoke City,10930.0,Deepdale Stadium,John Brooks,Match Report,,22,E2
Regular season,10.0,Tue,2021-09-28,19:45,Hull City,1.4,1–1,0.8,Blackpool,10189.0,MKM Stadium,Matt Donohue,Match Report,,22,E2
Regular season,10.0,Tue,2021-09-28,19:45,Middlesbrough,0.5,2–0,1.3,Sheffield Utd,19390.0,Riverside Stadium,James Linington,Match Report,,22,E2
Regular season,10.0,Tue,2021-09-28,19:45,Cardiff City,0.4,0–4,0.9,West Brom,17363.0,Cardiff City Stadium,Graham Scott,Match Report,,22,E2
Regular season,10.0,Wed,2021-09-29,19:45,Derby County,1.3,1–0,1.0,Reading,18769.0,iPro Stadium,John Busby,Match Report,,22,E2
Regular season,10.0,Wed,2021-09-29,19:45,Luton Town,3.8,5–0,1.0,Coventry City,9805.0,Kenilworth Road Stadium,Steve Martin,Match Report,,22,E2
Regular season,10.0,Wed,2021-09-29,19:45,Millwall,1.6,1–0,0.9,Bristol City,11839.0,The Den,Dean Whitestone,Match Report,,22,E2
Regular season,10.0,Wed,2021-09-29,19:45,Barnsley,1.2,1–3,2.7,Nott'ham Forest,13657.0,Oakwell Stadium,Geoff Eltringham,Match Report,,22,E2
Regular season,10.0,Wed,2021-09-29,19:45,P'borough Utd,0.1,0–0,1.5,Bournemouth,8971.0,Weston Homes Stadium,Andy Woolmer,Match Report,,22,E2
Regular season,10.0,Wed,2021-09-29,19:45,Fulham,1.2,3–1,1.1,Swansea City,16113.0,Craven Cottage,Joshua Smith,Match Report,,22,E2
,,,,,,,,,,,,,,,22,E2
Regular season,11.0,Fri,2021-10-01,19:45,Stoke City,2.2,1–0,1.1,West Brom,22703.0,Bet365 Stadium,Tim Robinson,Match Report,,22,E2
Regular season,11.0,Sat,2021-10-02,12:30,Coventry City,1.7,4–1,0.9,Fulham,18497.0,Coventry Building Society Arena,Gavin Ward,Match Report,,22,E2
Regular season,11.0,Sat,2021-10-02,15:00,Bournemouth,1.9,2–1,1.2,Sheffield Utd,9349.0,Vitality Stadium,Robert Jones,Match Report,,22,E2
Regular season,11.0,Sat,2021-10-02,15:00,QPR,2.4,3–2,1.5,Preston,13624.0,Kiyan Prince Foundation Stadium,Jeremy Simpson,Match Report,,22,E2
Regular season,11.0,Sat,2021-10-02,15:00,Cardiff City,2.6,0–1,0.2,Reading,18400.0,Cardiff City Stadium,Thomas Bramall,Match Report,,22,E2
Regular season,11.0,Sat,2021-10-02,15:00,P'borough Utd,1.2,2–3,1.8,Bristol City,8560.0,Weston Homes Stadium,David Coote,Match Report,,22,E2
Regular season,11.0,Sat,2021-10-02,15:00,Birmingham City,2.1,0–3,1.1,Nott'ham Forest,15148.0,St Andrew's Trillion Trophy Stadium,Keith Stroud,Match Report,,22,E2
Regular season,11.0,Sat,2021-10-02,15:00,Blackpool,1.3,2–1,1.2,Blackburn,13419.0,Bloomfield Road,Joshua Smith,Match Report,,22,E2
Regular season,11.0,Sat,2021-10-02,15:00,Barnsley,1.0,0–1,1.9,Millwall,11888.0,Oakwell Stadium,David Webb,Match Report,,22,E2
Regular season,11.0,Sat,2021-10-02,15:00,Derby County,0.5,0–0,1.1,Swansea City,21640.0,iPro Stadium,Andy Madley,Match Report,,22,E2
Regular season,11.0,Sat,2021-10-02,15:00,Hull City,0.9,2–0,1.5,Middlesbrough,13696.0,MKM Stadium,Andrew Davies,Match Report,,22,E2
Regular season,11.0,Sat,2021-10-02,15:00,Luton Town,1.1,0–0,0.3,Huddersfield,9977.0,Kenilworth Road Stadium,Leigh Doughty,Match Report,,22,E2
,,,,,,,,,,,,,,,22,E2
Regular season,12.0,Fri,2021-10-15,20:00,West Brom,0.7,1–0,0.9,Birmingham City,24870.0,The Hawthorns,Jeremy Simpson,Match Report,,22,E2
Regular season,12.0,Sat,2021-10-16,12:30,Fulham,2.0,4–1,1.1,QPR,18371.0,Craven Cottage,Oliver Langford,Match Report,,22,E2
Regular season,12.0,Sat,2021-10-16,15:00,Blackburn,1.1,2–2,0.8,Coventry City,14110.0,Ewood Park,Matt Donohue,Match Report,,22,E2
Regular season,12.0,Sat,2021-10-16,15:00,Reading,1.1,1–0,1.2,Barnsley,12199.0,Select Car Leasing Stadium,Andrew Davies,Match Report,,22,E2
Regular season,12.0,Sat,2021-10-16,15:00,Preston,1.0,0–0,0.9,Derby County,18092.0,Deepdale Stadium,Joshua Smith,Match Report,,22,E2
Regular season,12.0,Sat,2021-10-16,15:00,Middlesbrough,2.6,2–0,0.3,P'borough Utd,19556.0,Riverside Stadium,John Busby,Match Report,,22,E2
Regular season,12.0,Sat,2021-10-16,15:00,Bristol City,1.0,0–2,2.5,Bournemouth,20828.0,Ashton Gate Stadium,Gavin Ward,Match Report,,22,E2
Regular season,12.0,Sat,2021-10-16,15:00,Sheffield Utd,2.4,2–1,1.1,Stoke City,28576.0,Bramall Lane,Keith Stroud,Match Report,,22,E2
Regular season,12.0,Sat,2021-10-16,15:00,Millwall,1.7,0–2,0.7,Luton Town,14227.0,The Den,Chris Kavanagh,Match Report,,22,E2
Regular season,12.0,Sat,2021-10-16,15:00,Nott'ham Forest,2.1,2–1,1.0,Blackpool,27946.0,The City Ground,Kevin Friend,Match Report,,22,E2
Regular season,12.0,Sat,2021-10-16,15:00,Huddersfield,1.2,2–0,0.5,Hull City,17510.0,The John Smith's Stadium,Robert Jones,Match Report,,22,E2
Regular season,12.0,Sun,2021-10-17,12:00,Swansea City,2.5,3–0,1.2,Cardiff City,19288.0,Swansea.com Stadium,James Linington,Match Report,,22,E2
,,,,,,,,,,,,,,,22,E2
Regular season,13.0,Tue,2021-10-19,19:45,Sheffield Utd,2.5,1–2,1.5,Millwall,25345.0,Bramall Lane,Matt Donohue,Match Report,,22,E2
Regular season,13.0,Tue,2021-10-19,19:45,Derby County,0.5,2–2,1.4,Luton Town,20258.0,iPro Stadium,Geoff Eltringham,Match Report,,22,E2
Regular season,13.0,Tue,2021-10-19,19:45,QPR,1.1,1–0,0.2,Blackburn,11771.0,Kiyan Prince Foundation Stadium,David Webb,Match Report,,22,E2
Regular season,13.0,Tue,2021-10-19,19:45,Stoke City,1.7,0–1,1.2,Bournemouth,18427.0,Bet365 Stadium,Dean Whitestone,Match Report,,22,E2
Regular season,13.0,Tue,2021-10-19,19:45,Bristol City,2.2,1–2,2.6,Nott'ham Forest,24691.0,Ashton Gate Stadium,Steve Martin,Match Report,,22,E2
Regular season,13.0,Wed,2021-10-20,19:45,Middlesbrough,2.6,2–0,0.9,Barnsley,17931.0,Riverside Stadium,Andy Madley,Match Report,,22,E2
Regular season,13.0,Wed,2021-10-20,19:45,Preston,0.9,2–1,0.6,Coventry City,10837.0,Deepdale Stadium,Darren England,Match Report,,22,E2
Regular season,13.0,Wed,2021-10-20,19:45,Hull City,2.8,1–2,0.8,P'borough Utd,10245.0,MKM Stadium,Leigh Doughty,Match Report,,22,E2
Regular season,13.0,Wed,2021-10-20,19:45,Swansea City,1.3,2–1,1.1,West Brom,16694.0,Swansea.com Stadium,Simon Hooper,Match Report,,22,E2
Regular season,13.0,Wed,2021-10-20,19:45,Huddersfield,0.9,0–0,0.5,Birmingham City,15618.0,The John Smith's Stadium,Andy Woolmer,Match Report,,22,E2
Regular season,13.0,Wed,2021-10-20,19:45,Fulham,2.5,2–0,1.2,Cardiff City,15789.0,Craven Cottage,Tim Robinson,Match Report,,22,E2
Regular season,13.0,Wed,2021-10-20,20:00,Reading,1.1,2–3,2.5,Blackpool,13756.0,Select Car Leasing Stadium,Jeremy Simpson,Match Report,,22,E2
,,,,,,,,,,,,,,,22,E2
Regular season,14.0,Sat,2021-10-23,12:30,Cardiff City,0.9,0–2,2.8,Middlesbrough,17513.0,Cardiff City Stadium,Jeremy Simpson,Match Report,,22,E2
Regular season,14.0,Sat,2021-10-23,15:00,Blackburn,2.5,2–0,0.5,Reading,10517.0,Ewood Park,Tony Harrington,Match Report,,22,E2
Regular season,14.0,Sat,2021-10-23,15:00,Blackpool,1.1,2–0,1.0,Preston,13946.0,Bloomfield Road,Tim Robinson,Match Report,,22,E2
Regular season,14.0,Sat,2021-10-23,15:00,Bournemouth,2.6,3–0,0.3,Huddersfield,9253.0,Vitality Stadium,John Brooks,Match Report,,22,E2
Regular season,14.0,Sat,2021-10-23,15:00,Coventry City,1.4,1–1,0.4,Derby County,23829.0,Coventry Building Society Arena,Dean Whitestone,Match Report,,22,E2
Regular season,14.0,Sat,2021-10-23,15:00,P'borough Utd,1.8,2–1,1.3,QPR,12035.0,Weston Homes Stadium,Jarred Gillett,Match Report,,22,E2
Regular season,14.0,Sat,2021-10-23,15:00,Millwall,2.0,2–1,1.6,Stoke City,12896.0,The Den,Andrew Davies,Match Report,,22,E2
Regular season,14.0,Sat,2021-10-23,15:00,West Brom,3.2,3–0,0.5,Bristol City,23845.0,The Hawthorns,Joshua Smith,Match Report,,22,E2
