Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,17.0,Fri,2018-11-30,20:30,Lokeren,2–2,Gent,4478.0,Daknamstadion,Christof Dierick,Match Report,,19,B1
Regular season,17.0,Sat,2018-12-01,18:00,Charleroi,3–1,Cercle Brugge,11625.0,Stade du Pays de Charleroi,Wim Smet,Match Report,,19,B1
Regular season,17.0,Sat,2018-12-01,20:00,Kortrijk,1–0,Excel Mouscron,4819.0,Guldensporenstadion,Kevin Van Damme,Match Report,,19,B1
Regular season,17.0,Sat,2018-12-01,20:00,Zulte Waregem,1–1,Oostende,6201.0,Regenboogstadion,Lawrence Visser,Match Report,,19,B1
Regular season,17.0,Sat,2018-12-01,20:30,Antwerp,1–3,Sint-Truiden,12244.0,Bosuilstadion,Bert Put,Match Report,,19,B1
Regular season,17.0,Sun,2018-12-02,14:30,Club Brugge,3–0,Standard Liège,23964.0,Jan Breydelstadion,Jonathan Lardot,Match Report,,19,B1
Regular season,17.0,Sun,2018-12-02,18:00,Anderlecht,0–1,Genk,19862.0,Stade Constant Vanden Stock,Bram Van Driessche,Match Report,,19,B1
Regular season,17.0,Sun,2018-12-02,20:00,Eupen,1–0,Waasland-Bev,1997.0,Stadion am Kehrweg,Erik Lambrechts,Match Report,,19,B1
,,,,,,,,,,,,,19,B1
Regular season,18.0,Fri,2018-12-07,20:30,Waasland-Bev,2–1,Club Brugge,4429.0,Freethiel-Stadion,Bram Van Driessche,Match Report,,19,B1
Regular season,18.0,Sat,2018-12-08,18:00,Genk,1–1,Kortrijk,16785.0,Luminus Arena,Wesley Alen,Match Report,,19,B1
Regular season,18.0,Sat,2018-12-08,20:00,Oostende,1–0,Lokeren,3703.0,Versluys Arena,Alexandre Boucaut,Match Report,,19,B1
Regular season,18.0,Sat,2018-12-08,20:00,Excel Mouscron,0–0,Zulte Waregem,2623.0,Stade Le Canonnier,Bert Put,Match Report,,19,B1
Regular season,18.0,Sat,2018-12-08,20:30,Sint-Truiden,1–1,Standard Liège,9196.0,Stayen,Erik Lambrechts,Match Report,,19,B1
Regular season,18.0,Sun,2018-12-09,14:30,Cercle Brugge,0–3,Antwerp,6671.0,Jan Breydelstadion,Lawrence Visser,Match Report,,19,B1
Regular season,18.0,Sun,2018-12-09,18:00,Anderlecht,1–1,Charleroi,18715.0,Stade Constant Vanden Stock,Jonathan Lardot,Match Report,,19,B1
Regular season,18.0,Sun,2018-12-09,20:00,Gent,2–0,Eupen,12243.0,GHELAMCO-arena,Wim Smet,Match Report,,19,B1
,,,,,,,,,,,,,19,B1
Regular season,19.0,Fri,2018-12-14,20:30,Charleroi,2–0,Gent,9272.0,Stade du Pays de Charleroi,Lawrence Visser,Match Report,,19,B1
Regular season,19.0,Sat,2018-12-15,18:00,Kortrijk,0–0,Club Brugge,8616.0,Guldensporenstadion,Erik Lambrechts,Match Report,,19,B1
Regular season,19.0,Sat,2018-12-15,20:00,Lokeren,2–0,Sint-Truiden,4900.0,Daknamstadion,Nicolas Laforge,Match Report,,19,B1
Regular season,19.0,Sat,2018-12-15,20:00,Eupen,1–0,Excel Mouscron,2096.0,Stadion am Kehrweg,Bram Van Driessche,Match Report,,19,B1
Regular season,19.0,Sat,2018-12-15,20:30,Antwerp,0–2,Waasland-Bev,11698.0,Bosuilstadion,Nathan Verboomen,Match Report,,19,B1
Regular season,19.0,Sun,2018-12-16,14:30,Cercle Brugge,2–1,Anderlecht,8145.0,Jan Breydelstadion,Christof Dierick,Match Report,,19,B1
Regular season,19.0,Sun,2018-12-16,18:00,Genk,2–0,Oostende,15670.0,Luminus Arena,Jonathan Lardot,Match Report,,19,B1
Regular season,19.0,Sun,2018-12-16,20:00,Standard Liège,4–1,Zulte Waregem,24338.0,Stade Maurice Dufrasne,Wim Smet,Match Report,,19,B1
,,,,,,,,,,,,,19,B1
Regular season,20.0,Fri,2018-12-21,20:30,Gent,4–1,Cercle Brugge,18500.0,GHELAMCO-arena,Wesley Alen,Match Report,,19,B1
Regular season,20.0,Sat,2018-12-22,18:00,Excel Mouscron,3–1,Anderlecht,6889.0,Stade Le Canonnier,Alexandre Boucaut,Match Report,,19,B1
Regular season,20.0,Sat,2018-12-22,20:00,Waasland-Bev,2–1,Lokeren,6957.0,Freethiel-Stadion,Lawrence Visser,Match Report,,19,B1
Regular season,20.0,Sat,2018-12-22,20:00,Sint-Truiden,0–0,Kortrijk,6500.0,Stayen,Jan Boterberg,Match Report,,19,B1
Regular season,20.0,Sat,2018-12-22,20:30,Standard Liège,3–1,Oostende,25795.0,Stade Maurice Dufrasne,Nathan Verboomen,Match Report,,19,B1
Regular season,20.0,Sun,2018-12-23,14:30,Club Brugge,5–1,Antwerp,27000.0,Jan Breydelstadion,Wim Smet,Match Report,,19,B1
Regular season,20.0,Sun,2018-12-23,18:00,Eupen,0–2,Genk,3412.0,Stadion am Kehrweg,Christof Dierick,Match Report,,19,B1
Regular season,20.0,Sun,2018-12-23,20:00,Zulte Waregem,3–1,Charleroi,7500.0,Regenboogstadion,Lothar D'Hondt,Match Report,,19,B1
,,,,,,,,,,,,,19,B1
Regular season,21.0,Wed,2018-12-26,14:30,Antwerp,2–1,Excel Mouscron,10942.0,Bosuilstadion,Jonathan Lardot,Match Report,,19,B1
Regular season,21.0,Wed,2018-12-26,14:30,Kortrijk,4–2,Zulte Waregem,8837.0,Guldensporenstadion,Bram Van Driessche,Match Report,,19,B1
Regular season,21.0,Wed,2018-12-26,14:30,Cercle Brugge,0–1,Eupen,6251.0,Jan Breydelstadion,Erik Lambrechts,Match Report,,19,B1
Regular season,21.0,Wed,2018-12-26,14:30,Oostende,1–1,Sint-Truiden,5326.0,Versluys Arena,Kevin Van Damme,Match Report,,19,B1
Regular season,21.0,Wed,2018-12-26,18:00,Charleroi,0–1,Standard Liège,12653.0,Stade du Pays de Charleroi,Nicolas Laforge,Match Report,,19,B1
Regular season,21.0,Wed,2018-12-26,20:30,Genk,3–1,Gent,19151.0,Luminus Arena,Wim Smet,Match Report,,19,B1
Regular season,21.0,Thu,2018-12-27,18:00,Lokeren,0–1,Club Brugge,7070.0,Daknamstadion,Nathan Verboomen,Match Report,,19,B1
Regular season,21.0,Thu,2018-12-27,20:30,Anderlecht,3–0,Waasland-Bev,18503.0,Stade Constant Vanden Stock,Wesley Alen,Match Report,,19,B1
,,,,,,,,,,,,,19,B1
Regular season,22.0,Fri,2019-01-18,20:30,Sint-Truiden,2–3,Genk,11174.0,Stayen,Lawrence Visser,Match Report,,19,B1
Regular season,22.0,Sat,2019-01-19,18:00,Standard Liège,2–1,Kortrijk,17629.0,Stade Maurice Dufrasne,Erik Lambrechts,Match Report,,19,B1
Regular season,22.0,Sat,2019-01-19,20:00,Waasland-Bev,1–1,Cercle Brugge,3014.0,Freethiel-Stadion,Bert Put,Match Report,,19,B1
Regular season,22.0,Sat,2019-01-19,20:00,Eupen,4–1,Lokeren,2386.0,Stadion am Kehrweg,Kevin Van Damme,Match Report,,19,B1
Regular season,22.0,Sat,2019-01-19,20:30,Zulte Waregem,1–2,Antwerp,7294.0,Regenboogstadion,Nathan Verboomen,Match Report,,19,B1
