Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
18.0,Sat,2018-01-13,20:30,Braga,1–3,Benfica,20407.0,Estádio Municipal de Bragança,Artur Soares Dias,Match Report,,18,P1
18.0,Sun,2018-01-14,16:00,Boavista,2–0,Portimonense,4144.0,Estádio do Bessa Século XXI,Rui Oliveira,Match Report,,18,P1
18.0,Sun,2018-01-14,16:00,Tondela,3–1,Feirense,1080.0,Estádio João Cardoso,Hugo Miguel,Match Report,,18,P1
18.0,Sun,2018-01-14,18:00,Belenenses,1–2,Rio Ave,1763.0,Estádio do Restelo,Vitor Ferreira Fernandes,Match Report,,18,P1
18.0,Sun,2018-01-14,20:15,Sporting CP,3–0,Aves,41950.0,Estádio José Alvalade,João Pedro Pinheiro,Match Report,,18,P1
18.0,Mon,2018-01-15,19:00,Moreirense,2–2,Vitória Setúbal,1127.0,P.D. Comendador Joaquim de Almeida Freit...,Rui Costa,Match Report,,18,P1
,,,,,,,,,,,,18,P1
19.0,Fri,2018-01-19,19:00,Vitória Setúbal,1–1,Sporting CP,7540.0,Estádio Dom Afonso Henriques,Fábio Costa,Match Report,,18,P1
19.0,Fri,2018-01-19,21:00,Porto,1–0,Tondela,32711.0,Estádio Do Dragão,Luís Godinho,Match Report,,18,P1
19.0,Sat,2018-01-20,16:00,Marítimo,0–0,Belenenses,5886.0,Estádio dos Barreiros,Luís Ferreira,Match Report,,18,P1
19.0,Sat,2018-01-20,18:15,Benfica,3–0,Chaves,123.0,Estádio do Sport Lisboa e Benfica,Bruno Alexandre Da Silva Esteves,Match Report,,18,P1
19.0,Sat,2018-01-20,20:30,Portimonense,1–2,Braga,2833.0,Estádio do Portimonense SC,Manuel Oliveira,Match Report,,18,P1
19.0,Sun,2018-01-21,16:00,Aves,0–2,Paços,1877.0,Estádio Clube Desportivo das Aves,Hugo Miguel,Match Report,,18,P1
19.0,Sun,2018-01-21,16:00,Feirense,1–0,Moreirense,3919.0,Estádio Marcolino de Castro,Tiago Martins,Match Report,,18,P1
19.0,Sun,2018-01-21,18:00,Rio Ave,2–0,Boavista,2935.0,Estádio do Rio Ave Futebol Clube,Hélder Malheiro,Match Report,,18,P1
19.0,Sun,2018-01-21,20:15,Vitória,3–1,Estoril,13256.0,Estádio do Bonfim,João Sousa,Match Report,,18,P1
,,,,,,,,,,,,18,P1
20.0,Mon,2018-01-29,19:00,Portimonense,4–1,Rio Ave,2088.0,Estádio do Portimonense SC,Hugo Miguel,Match Report,,18,P1
20.0,Mon,2018-01-29,19:00,Paços,2–1,Feirense,1814.0,Estádio da Capital do Móvel,Gonçalo Martins,Match Report,,18,P1
20.0,Mon,2018-01-29,21:00,Belenenses,1–1,Benfica,9268.0,Estádio do Restelo,Bruno Duarte Paixão,Match Report,,18,P1
20.0,Tue,2018-01-30,19:00,Braga,2–0,Aves,7607.0,Estádio Municipal de Bragança,Nuno Almeida,Match Report,,18,P1
20.0,Tue,2018-01-30,19:00,Estoril,3–0,Tondela,1754.0,Estádio António Coimbra da Mota,João Pedro Pinheiro,Match Report,,18,P1
20.0,Tue,2018-01-30,21:00,Moreirense,0–0,Porto,3232.0,P.D. Comendador Joaquim de Almeida Freit...,Luís Ferreira,Match Report,,18,P1
20.0,Wed,2018-01-31,19:00,Boavista,2–1,Marítimo,3695.0,Estádio do Bessa Século XXI,Bruno Alexandre Da Silva Esteves,Match Report,,18,P1
20.0,Wed,2018-01-31,19:00,Chaves,2–2,Vitória Setúbal,2076.0,Estádio Municipal Eng. Manuel Branco Tei...,António Nobre,Match Report,,18,P1
20.0,Wed,2018-01-31,21:00,Sporting CP,1–0,Vitória,42757.0,Estádio José Alvalade,Luís Godinho,Match Report,,18,P1
,,,,,,,,,,,,18,P1
