Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,11.0,Sat,2018-11-03,20:45,Ajax,2.0,2–0,0.5,Willem II,53432.0,Johan Cruyff ArenA,Allard Lindhout,Match Report,,19,N1
Regular season,11.0,Sat,2018-11-03,20:45,AZ Alkmaar,1.4,1–0,0.1,De Graafschap,13200.0,AFAS Stadion,Björn Kuipers,Match Report,,19,N1
Regular season,11.0,Sun,2018-11-04,12:15,Heerenveen,1.5,1–1,2.0,Emmen,19835.0,Abe Lenstra Stadion,Kevin Blom,Match Report,,19,N1
Regular season,11.0,Sun,2018-11-04,14:30,Fortuna Sittard,2.6,3–0,0.5,Zwolle,8332.0,Fortuna Sittard Stadion,Christiaan Bax,Match Report,,19,N1
Regular season,11.0,Sun,2018-11-04,14:30,Utrecht,2.5,3–0,0.9,ADO Den Haag,15946.0,Stadion Galgenwaard,Jeroen Manschot,Match Report,,19,N1
,,,,,,,,,,,,,,,19,N1
Regular season,12.0,Fri,2018-11-09,20:00,Zwolle,1.9,2–3,1.2,Willem II,13222.0,MAC³PARK Stadion,Richard Martens,Match Report,,19,N1
Regular season,12.0,Sat,2018-11-10,18:30,Emmen,2.0,2–0,0.3,NAC Breda,8300.0,De Oude Meerdijk,Jochem Kamphuis,Match Report,,19,N1
Regular season,12.0,Sat,2018-11-10,19:45,Vitesse,1.5,2–1,1.3,Utrecht,15131.0,GelreDome,Danny Makkelie,Match Report,,19,N1
Regular season,12.0,Sat,2018-11-10,19:45,De Graafschap,0.5,1–4,3.3,PSV Eindhoven,12313.0,Stadion De Vijverberg,Kevin Blom,Match Report,,19,N1
Regular season,12.0,Sat,2018-11-10,20:45,VVV-Venlo,2.0,3–2,1.6,Fortuna Sittard,7534.0,Seacon Stadion De Koel,Siemen Mulder,Match Report,,19,N1
Regular season,12.0,Sun,2018-11-11,12:15,Groningen,1.1,2–0,0.5,Heerenveen,20731.0,Hitachi Capital Mobility Stadion,Jeroen Manschot,Match Report,,19,N1
Regular season,12.0,Sun,2018-11-11,14:30,Excelsior,1.8,1–7,5.0,Ajax,4400.0,Van Donge & De Roo Stadion,Serdar Gözübüyük,Match Report,,19,N1
Regular season,12.0,Sun,2018-11-11,14:30,ADO Den Haag,0.4,0–1,0.9,AZ Alkmaar,12717.0,Cars Jeans Stadion,Dennis Higler,Match Report,,19,N1
Regular season,12.0,Sun,2018-11-11,16:45,Heracles Almelo,1.1,0–2,2.0,Feyenoord,11754.0,Polman Stadion,Allard Lindhout,Match Report,,19,N1
,,,,,,,,,,,,,,,19,N1
Regular season,13.0,Sat,2018-11-24,18:30,Zwolle,2.0,2–3,2.1,ADO Den Haag,12152.0,MAC³PARK Stadion,Siemen Mulder,Match Report,,19,N1
Regular season,13.0,Sat,2018-11-24,18:30,NAC Breda,0.6,0–3,2.7,Ajax,18969.0,Rat Verlegh Stadion,Dennis Higler,Match Report,,19,N1
