Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,11.0,Fri,2021-11-05,19:00,Gil Vicente FC,2.6,1–1,0.6,Arouca,1694.0,Estádio Cidade de Barcelos,Hélder Malheiro,Match Report,,22,P1
Regular season,11.0,Fri,2021-11-05,21:15,Boavista,0.9,2–5,3.0,Famalicão,3479.0,Estádio do Bessa Século XXI,Manuel Mota,Match Report,,22,P1
Regular season,11.0,Sat,2021-11-06,15:30,Vizela,0.9,1–1,0.8,Estoril,2095.0,Estádio Do Vizela,David Silva,Match Report,,22,P1
Regular season,11.0,Sat,2021-11-06,18:00,Portimonense,1.1,2–0,0.9,B-SAD,1185.0,Estádio do Portimonense SC,António Nobre,Match Report,,22,P1
Regular season,11.0,Sat,2021-11-06,20:30,Vitória,1.2,2–1,1.6,Moreirense,12396.0,Estádio Dom Afonso Henriques,Vitor Ferreira Fernandes,Match Report,,22,P1
Regular season,11.0,Sun,2021-11-07,14:00,Tondela,3.7,4–2,1.7,Marítimo,700.0,Estádio João Cardoso,Gustavo Correia,Match Report,,22,P1
Regular season,11.0,Sun,2021-11-07,16:00,Santa Clara,0.4,0–3,2.8,Porto,3745.0,Estádio de São Miguel,Rui Costa,Match Report,,22,P1
Regular season,11.0,Sun,2021-11-07,19:00,Paços,0.7,0–2,2.1,Sporting CP,5903.0,Estádio da Capital do Móvel,Luís Godinho,Match Report,,22,P1
Regular season,11.0,Sun,2021-11-07,21:15,Benfica,1.8,6–1,0.7,Braga,40577.0,Estádio do Sport Lisboa e Benfica,Artur Soares Dias,Match Report,,22,P1
,,,,,,,,,,,,,,,22,P1
Regular season,12.0,Fri,2021-11-26,20:15,Moreirense,1.8,2–2,1.3,Gil Vicente FC,1015.0,P.D. Comendador Joaquim de Almeida Freit...,Manuel Oliveira,Match Report,,22,P1
Regular season,12.0,Sat,2021-11-27,15:30,Famalicão,1.6,0–3,0.3,Portimonense,3111.0,Estádio Municipal 22 de Junho,Fábio Veríssimo,Match Report,,22,P1
Regular season,12.0,Sat,2021-11-27,18:00,Arouca,1.1,2–1,0.7,Boavista,988.0,Estádio Municipal de Arouca,João Pinheiro,Match Report,,22,P1
Regular season,12.0,Sat,2021-11-27,20:30,B-SAD,0.0,0–7,3.6,Benfica,6096.0,Estádio Nacional,Manuel Mota,Match Report,,22,P1
Regular season,12.0,Sun,2021-11-28,15:30,Marítimo,0.3,2–0,1.3,Paços,2017.0,Estádio dos Barreiros,Cláudio Ruivo Pereira,Match Report,,22,P1
Regular season,12.0,Sun,2021-11-28,18:00,Sporting CP,2.1,2–0,0.3,Tondela,34058.0,Estádio José Alvalade,Hugo Miguel,Match Report,,22,P1
Regular season,12.0,Sun,2021-11-28,20:30,Porto,3.9,2–1,1.5,Vitória,26407.0,Estádio Do Dragão,Luís Godinho,Match Report,,22,P1
