Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
17.0,Sat,2019-11-30,20:00,Zulte Waregem,1–0,Eupen,6662.0,Regenboogstadion,Bert Put,Match Report,,20,B1
17.0,Sat,2019-11-30,20:30,Genk,1–2,Sint-Truiden,18254.0,Luminus Arena,Bram Van Driessche,Match Report,,20,B1
17.0,Sun,2019-12-01,14:30,Oostende,3–2,Anderlecht,6079.0,Versluys Arena,Nicolas Laforge,Match Report,,20,B1
17.0,Sun,2019-12-01,18:00,Standard Liège,2–1,Cercle Brugge,25592.0,Stade Maurice Dufrasne,Erik Lambrechts,Match Report,,20,B1
17.0,Sun,2019-12-01,20:00,Kortrijk,0–2,Gent,7352.0,Guldensporenstadion,Nathan Verboomen,Match Report,,20,B1
,,,,,,,,,,,,20,B1
18.0,Fri,2019-12-06,20:30,Waasland-Bev,0–4,Antwerp,5600.0,Freethiel-Stadion,Wim Smet,Match Report,,20,B1
18.0,Sat,2019-12-07,18:00,Mechelen,1–1,Kortrijk,15430.0,AFAS-stadion Achter de Kazerne,Wesli De Cremer,Match Report,,20,B1
18.0,Sat,2019-12-07,20:00,Cercle Brugge,1–2,Genk,5400.0,Jan Breydelstadion,Nathan Verboomen,Match Report,,20,B1
18.0,Sat,2019-12-07,20:00,Gent,2–0,Zulte Waregem,19100.0,GHELAMCO-arena,Jonathan Lardot,Match Report,,20,B1
18.0,Sat,2019-12-07,20:30,Sint-Truiden,1–2,Club Brugge,7000.0,Stayen,Lothar D'Hondt,Match Report,,20,B1
18.0,Sun,2019-12-08,14:30,Excel Mouscron,2–2,Standard Liège,5346.0,Stade Le Canonnier,Jan Boterberg,Match Report,,20,B1
18.0,Sun,2019-12-08,18:00,Anderlecht,0–0,Charleroi,19000.0,Lotto Park,Bram Van Driessche,Match Report,,20,B1
18.0,Sun,2019-12-08,20:00,Eupen,1–0,Oostende,3500.0,Stadion am Kehrweg,Lawrence Visser,Match Report,,20,B1
,,,,,,,,,,,,20,B1
19.0,Fri,2019-12-13,20:30,Kortrijk,1–2,Excel Mouscron,5519.0,Guldensporenstadion,Christof Dierick,Match Report,,20,B1
19.0,Sat,2019-12-14,18:00,Antwerp,1–0,Eupen,16649.0,Bosuilstadion,Frederik Geldhof,Match Report,,20,B1
19.0,Sat,2019-12-14,20:00,Zulte Waregem,5–1,Sint-Truiden,6861.0,Regenboogstadion,Jasper Vergoote,Match Report,,20,B1
19.0,Sat,2019-12-14,20:00,Charleroi,3–0,Cercle Brugge,7616.0,Stade du Pays de Charleroi,Nicolas Laforge,Match Report,,20,B1
19.0,Sat,2019-12-14,20:30,Genk,4–1,Waasland-Bev,24956.0,Luminus Arena,Erik Lambrechts,Match Report,,20,B1
19.0,Sun,2019-12-15,14:30,Standard Liège,1–1,Anderlecht,26972.0,Stade Maurice Dufrasne,Jonathan Lardot,Match Report,,20,B1
19.0,Sun,2019-12-15,18:00,Club Brugge,3–0,Mechelen,27404.0,Jan Breydelstadion,Nathan Verboomen,Match Report,,20,B1
19.0,Sun,2019-12-15,20:00,Oostende,2–1,Gent,4530.0,Versluys Arena,Bert Put,Match Report,,20,B1
,,,,,,,,,,,,20,B1
20.0,Fri,2019-12-20,20:30,Mechelen,1–0,Oostende,15619.0,AFAS-stadion Achter de Kazerne,Wim Smet,Match Report,,20,B1
20.0,Sat,2019-12-21,18:00,Excel Mouscron,1–1,Charleroi,3300.0,Stade Le Canonnier,Jasper Vergoote,Match Report,,20,B1
20.0,Sat,2019-12-21,20:00,Eupen,1–2,Kortrijk,2376.0,Stadion am Kehrweg,Bert Put,Match Report,,20,B1
20.0,Sat,2019-12-21,20:00,Cercle Brugge,2–0,Zulte Waregem,3694.0,Jan Breydelstadion,Wesley Alen,Match Report,,20,B1
20.0,Sat,2019-12-21,20:30,Waasland-Bev,2–1,Standard Liège,4000.0,Freethiel-Stadion,Christof Dierick,Match Report,,20,B1
20.0,Sun,2019-12-22,14:30,Gent,1–1,Club Brugge,20000.0,GHELAMCO-arena,Lawrence Visser,Match Report,,20,B1
20.0,Sun,2019-12-22,18:00,Sint-Truiden,1–1,Antwerp,5679.0,Stayen,Alexandre Boucaut,Match Report,,20,B1
20.0,Sun,2019-12-22,20:00,Anderlecht,2–0,Genk,19000.0,Lotto Park,Nicolas Laforge,Match Report,,20,B1
,,,,,,,,,,,,20,B1
21.0,Thu,2019-12-26,14:30,Genk,2–1,Eupen,17104.0,Luminus Arena,Lothar D'Hondt,Match Report,,20,B1
21.0,Thu,2019-12-26,14:30,Kortrijk,1–0,Cercle Brugge,7335.0,Guldensporenstadion,Erik Lambrechts,Match Report,,20,B1
21.0,Thu,2019-12-26,14:30,Waasland-Bev,1–0,Sint-Truiden,4268.0,Freethiel-Stadion,Jan Boterberg,Match Report,,20,B1
21.0,Thu,2019-12-26,14:30,Excel Mouscron,1–2,Mechelen,3200.0,Stade Le Canonnier,Frederik Geldhof,Match Report,,20,B1
21.0,Thu,2019-12-26,18:00,Club Brugge,4–0,Zulte Waregem,27408.0,Jan Breydelstadion,Jonathan Lardot,Match Report,,20,B1
21.0,Thu,2019-12-26,20:30,Standard Liège,0–1,Gent,26761.0,Stade Maurice Dufrasne,Bram Van Driessche,Match Report,,20,B1
21.0,Fri,2019-12-27,18:00,Charleroi,5–0,Oostende,9444.0,Stade du Pays de Charleroi,Wesli De Cremer,Match Report,,20,B1
21.0,Fri,2019-12-27,20:30,Antwerp,0–0,Anderlecht,14075.0,Bosuilstadion,Nathan Verboomen,Match Report,,20,B1
,,,,,,,,,,,,20,B1
22.0,Fri,2020-01-17,20:30,Mechelen,2–3,Standard Liège,16200.0,AFAS-stadion Achter de Kazerne,Wesley Alen,Match Report,,20,B1
22.0,Sat,2020-01-18,18:00,Eupen,1–1,Charleroi,2458.0,Stadion am Kehrweg,Wim Smet,Match Report,,20,B1
22.0,Sat,2020-01-18,20:00,Oostende,0–1,Waasland-Bev,5231.0,Versluys Arena,Bram Van Driessche,Match Report,,20,B1
22.0,Sat,2020-01-18,20:00,Sint-Truiden,2–0,Kortrijk,4236.0,Stayen,Wesli De Cremer,Match Report,,20,B1
22.0,Sat,2020-01-18,20:30,Gent,3–1,Excel Mouscron,18604.0,GHELAMCO-arena,Nicolas Laforge,Match Report,,20,B1
22.0,Sun,2020-01-19,14:30,Cercle Brugge,1–2,Antwerp,4200.0,Jan Breydelstadion,Jan Boterberg,Match Report,,20,B1
